,odid,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
Untraceable,19410100,0.114754098,0.131147541,0.081967213,0.098360656,0.081967213,0.081967213,0.081967213,0.081967213,0.147540984,0.098360656
Defiance,19430100,0.082191781,0.178082192,0.068493151,0.068493151,0.068493151,0.068493151,0.164383562,0.068493151,0.164383562,0.068493151
The Uninvited,19480100,0.253521127,0.084507042,0.070422535,0.112676056,0.070422535,0.070422535,0.070422535,0.112676056,0.070422535,0.084507042
We Own the Night,19510100,0.073529412,0.088235294,0.102941176,0.147058824,0.073529412,0.102941176,0.073529412,0.073529412,0.117647059,0.147058824
Mr. Brooks,19530100,0.313953488,0.093023256,0.069767442,0.069767442,0.058139535,0.058139535,0.11627907,0.058139535,0.104651163,0.058139535
Employee of the Month,19540100,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.092592593,0.111111111,0.092592593,0.092592593,0.148148148
Garfield: A Tail of Tw,19560100,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216
Crank,19850100,0.049586777,0.487603306,0.041322314,0.041322314,0.049586777,0.049586777,0.05785124,0.049586777,0.041322314,0.132231405
Hannibal Rising,19920100,0.078125,0.078125,0.078125,0.125,0.078125,0.078125,0.203125,0.109375,0.09375,0.078125
All About Steve,19950100,0.079365079,0.079365079,0.079365079,0.079365079,0.095238095,0.079365079,0.079365079,0.111111111,0.174603175,0.142857143
Stick It,20280100,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0.109090909,0.109090909,0.109090909,0.127272727
The Women,20300100,0.089285714,0.107142857,0.089285714,0.107142857,0.089285714,0.125,0.089285714,0.089285714,0.107142857,0.107142857
One Missed Call,20320100,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
The Other Boleyn Girl,20350100,0.079365079,0.111111111,0.047619048,0.19047619,0.047619048,0.158730159,0.03968254,0.03968254,0.238095238,0.047619048
Street Kings,20570100,0.083333333,0.2,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.083333333,0.133333333,0.083333333
The Descent,20740100,0.226027397,0.068493151,0.04109589,0.04109589,0.047945205,0.061643836,0.089041096,0.328767123,0.054794521,0.04109589
Shutter,20830100,0.094339623,0.094339623,0.094339623,0.132075472,0.094339623,0.094339623,0.113207547,0.094339623,0.094339623,0.094339623
The Nanny Diaries,20840100,0.1,0.083333333,0.133333333,0.1,0.083333333,0.15,0.083333333,0.083333333,0.1,0.083333333
Superhero Movie,20910100,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.109090909,0.090909091,0.090909091,0.090909091,0.145454545
Dance Flick,21020100,0.098039216,0.098039216,0.098039216,0.117647059,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216,0.098039216
The Mist,21050100,0.206140351,0.021929825,0.035087719,0.070175439,0.144736842,0.021929825,0.021929825,0.421052632,0.026315789,0.030701754
Nancy Drew,21080100,0.090909091,0.127272727,0.090909091,0.090909091,0.090909091,0.109090909,0.090909091,0.109090909,0.090909091,0.109090909
W.,21140100,0.083333333,0.097222222,0.069444444,0.083333333,0.069444444,0.069444444,0.138888889,0.069444444,0.236111111,0.083333333
The International,21260100,0.0625,0.0875,0.0625,0.075,0.0875,0.1,0.1,0.0625,0.3,0.0625
The Reaping,21470100,0.118644068,0.084745763,0.084745763,0.118644068,0.084745763,0.084745763,0.084745763,0.169491525,0.084745763,0.084745763
Grindhouse,21560100,0.027777778,0.1,0.033333333,0.033333333,0.061111111,0.061111111,0.427777778,0.15,0.05,0.055555556
Never Back Down,21690100,0.080645161,0.14516129,0.129032258,0.080645161,0.080645161,0.080645161,0.129032258,0.112903226,0.080645161,0.080645161
Huo Yuan Jia,21830100,0.061946903,0.380530973,0.088495575,0.053097345,0.088495575,0.053097345,0.115044248,0.053097345,0.044247788,0.061946903
Aliens in the Attic,21900100,0.087719298,0.122807018,0.087719298,0.087719298,0.122807018,0.105263158,0.087719298,0.087719298,0.087719298,0.122807018
The Wicker Man,21990100,0.072289157,0.072289157,0.072289157,0.13253012,0.060240964,0.060240964,0.060240964,0.34939759,0.060240964,0.060240964
Tim Burton's The Night,22050100,0.118451025,0.013667426,0.093394077,0.025056948,0.011389522,0.020501139,0.528473804,0.161731207,0.013667426,0.013667426
9,22060100,0.152866242,0.01910828,0.022292994,0.022292994,0.191082803,0.015923567,0.025477707,0.51910828,0.015923567,0.015923567
Clerks II,22140100,0.03649635,0.051094891,0.051094891,0.04379562,0.03649635,0.051094891,0.051094891,0.072992701,0.03649635,0.569343066
Observe and Report,22210100,0.0625,0.0875,0.0625,0.075,0.0625,0.0625,0.075,0.075,0.0875,0.35
Perfect Stranger,22370100,0.137931034,0.086206897,0.086206897,0.086206897,0.086206897,0.086206897,0.103448276,0.086206897,0.137931034,0.103448276
Hot Fuzz,22440100,0.014,0.078,0.014,0.68,0.014,0.012,0.05,0.036,0.012,0.09
Traitor,22510100,0.083333333,0.133333333,0.083333333,0.083333333,0.116666667,0.116666667,0.083333333,0.083333333,0.133333333,0.083333333
